user_id,cluster
1,1
2,0
3,0
4,0
5,0
6,1
7,2
8,2
9,1
10,1
11,0
12,0
13,0
14,2
15,1
16,1
17,2
18,1
19,1
20,2
21,1
22,0
23,1
24,1
25,0
26,0
27,0
28,0
29,0
30,0
31,1
32,0
33,0
34,2
35,1
36,0
37,2
38,1
39,1
40,1
41,1
42,0
43,2
44,1
45,0
46,2
47,0
48,2
49,2
50,2
51,1
52,1
53,0
54,0
55,0
56,1
57,1
58,1
59,0
60,2
61,0
62,1
63,0
64,0
65,1
66,1
67,0
68,2
69,1
70,2
71,0
72,2
73,0
74,0
75,2
76,0
77,2
78,1
79,0
80,0
81,1
82,0
83,0
84,0
85,1
86,2
87,0
88,0
89,1
90,0
91,0
92,1
93,1
94,1
95,1
96,2
97,1
98,0
99,0
100,2
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,2
111,0
112,2
113,1
114,0
115,0
116,0
117,1
118,2
119,1
120,1
121,0
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,1
130,0
131,1
132,0
133,0
134,0
135,0
136,0
137,2
138,0
139,1
140,0
141,0
142,1
143,0
144,2
145,1
146,0
147,1
148,0
149,0
150,1
151,1
152,0
153,0
154,1
155,0
156,0
157,0
158,1
159,0
160,1
161,1
162,0
163,1
164,1
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,1
175,0
176,1
177,1
178,2
179,1
180,0
181,2
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,0
190,1
191,0
192,2
193,0
194,0
195,1
196,0
197,1
198,0
199,1
200,0
201,0
202,0
203,1
204,2
205,1
206,2
207,2
208,2
209,0
210,0
211,0
212,0
213,1
214,0
215,1
216,0
217,0
218,1
219,1
220,1
221,0
222,0
223,1
224,0
225,2
226,0
227,0
228,0
229,1
230,1
231,0
232,1
233,1
234,0
235,0
236,1
237,2
238,0
239,1
240,0
241,0
242,0
243,1
244,0
245,1
246,1
247,2
248,0
249,0
250,1
251,1
252,1
253,1
254,0
255,2
256,0
257,0
258,0
259,1
260,0
261,0
262,0
263,1
264,1
265,0
266,1
267,1
268,2
269,0
270,2
271,2
272,0
273,1
274,2
275,2
276,1
277,1
278,1
279,0
280,1
281,0
282,0
283,1
284,1
285,1
286,1
287,0
288,1
289,2
290,0
291,0
292,0
293,2
294,2
295,0
296,2
297,2
298,1
299,0
300,0
301,1
302,0
303,1
304,2
305,2
306,1
307,2
308,1
309,0
310,1
311,1
312,1
313,0
314,2
315,0
316,1
317,2
318,0
319,1
320,0
321,0
322,0
323,1
324,0
325,0
326,2
327,0
328,1
329,2
330,0
331,1
332,0
333,0
334,2
335,1
336,2
337,0
338,1
339,2
340,0
341,0
342,2
343,1
344,0
345,1
346,0
347,1
348,0
349,1
350,1
351,0
352,2
353,2
354,2
355,0
356,1
357,2
358,1
359,1
360,0
361,0
362,0
363,2
364,0
365,0
366,2
367,1
368,1
369,0
370,0
371,1
372,2
373,1
374,1
375,0
376,0
377,0
378,0
379,0
380,2
381,0
382,0
383,0
384,2
385,0
386,0
387,0
388,1
389,0
390,0
391,0
392,2
393,0
394,1
395,0
396,1
397,1
398,1
399,0
400,1
401,1
402,0
403,0
404,1
405,0
406,0
407,0
408,0
409,0
410,2
411,0
412,1
413,0
414,0
415,0
416,1
417,0
418,0
419,2
420,2
421,0
422,0
423,1
424,0
425,0
426,1
427,0
428,0
429,0
430,1
431,0
432,1
433,0
434,0
435,2
436,1
437,0
438,1
439,1
440,1
441,0
442,1
443,2
444,1
445,0
446,1
447,1
448,0
449,1
450,0
451,0
452,2
453,0
454,0
455,1
456,0
457,2
458,1
459,0
460,2
461,0
462,0
463,2
464,1
465,0
466,0
467,2
468,1
469,0
470,0
471,2
472,2
473,1
474,0
475,0
476,1
477,0
478,0
479,2
480,0
481,0
482,2
483,2
484,2
485,0
486,2
487,1
488,2
489,0
490,1
491,1
492,0
493,1
494,2
495,0
496,1
497,0
498,0
499,2
500,0
501,0
502,0
503,1
504,0
505,2
506,1
507,0
508,1
509,0
510,1
511,0
512,0
513,0
514,1
515,1
516,0
517,0
518,0
519,0
520,1
521,0
522,0
523,2
524,0
525,1
526,1
527,0
528,1
529,0
530,2
531,1
532,2
533,0
534,1
535,1
536,0
537,2
538,0
539,1
540,0
541,1
542,1
543,1
544,1
545,2
546,2
547,2
548,0
549,1
550,0
551,0
552,0
553,0
554,0
555,1
556,0
557,2
558,0
559,0
560,0
561,0
562,1
563,1
564,1
565,0
566,0
567,1
568,1
569,0
570,0
571,0
572,1
573,1
574,1
575,1
576,0
577,1
578,1
579,1
580,0
581,0
582,0
583,0
584,1
585,0
586,0
587,1
588,0
589,2
590,1
591,1
592,0
593,0
594,0
595,1
596,1
597,0
598,0
599,0
600,0
601,0
602,0
603,1
604,0
605,0
606,1
607,1
608,0
609,0
610,1
611,1
612,1
613,1
614,1
615,0
616,1
617,0
618,1
619,0
620,0
621,2
622,0
623,0
624,1
625,0
626,2
627,1
628,0
629,2
630,0
631,2
632,0
633,0
634,0
635,1
636,1
637,1
638,0
639,1
640,1
641,0
642,1
643,0
644,1
645,1
646,0
647,0
648,2
649,0
650,2
651,1
652,2
653,1
654,1
655,1
656,1
657,1
658,0
659,1
660,0
661,1
662,0
663,1
664,1
665,2
666,1
667,0
668,2
669,0
670,0
671,0
672,1
673,1
674,0
675,1
676,0
677,1
678,1
679,0
680,0
681,2
682,2
683,1
684,1
685,0
686,1
687,0
688,0
689,1
690,0
691,1
692,0
693,1
694,1
695,0
696,1
697,1
698,0
699,0
700,1
701,0
702,0
703,1
704,0
705,1
706,0
707,0
708,0
709,1
710,0
711,0
712,0
713,0
714,0
715,1
716,0
717,1
718,2
719,0
720,1
721,0
722,0
723,1
724,0
725,0
726,1
727,1
728,1
729,0
730,1
731,0
732,0
733,1
734,2
735,2
736,0
737,1
738,1
739,2
740,2
741,2
742,1
743,1
744,1
745,0
746,0
747,2
748,1
749,0
750,0
751,0
752,1
753,1
754,1
755,2
756,2
757,0
758,0
759,0
760,0
761,0
762,1
763,0
764,0
765,0
766,0
767,2
768,1
769,1
770,0
771,1
772,1
773,0
774,0
775,2
776,1
777,1
778,0
779,1
780,0
781,0
782,0
783,1
784,2
785,2
786,0
787,0
788,0
789,1
790,1
791,0
792,1
793,0
794,1
795,0
796,0
797,0
798,0
799,1
800,0
801,0
802,1
803,0
804,0
805,1
806,1
807,0
808,1
809,1
810,1
811,0
812,1
813,0
814,0
815,0
816,1
817,0
818,0
819,1
820,0
821,1
822,2
823,0
824,1
825,0
826,2
827,2
828,0
829,2
830,1
831,1
832,1
833,1
834,0
835,0
836,0
837,1
838,1
839,1
840,1
841,0
842,1
843,0
